User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:32:14Z,config.amazonaws.com,DescribeConfigurationRecorders,us-east-1,179.6.208.191,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation",AccessDenied,[],14b644fe-c75f-4c68-a5c1-db69a50e7646,13a52845-5fbf-4da3-920d-cbae62e7add9,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6N4DBZ2UG,2021-01-03T20:23:33Z,s3.amazonaws.com,GetBucketVersioning,us-east-1,179.6.208.191,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],EEF7FF0B9B96560B,ce34d469-0250-4e26-bdec-f96113bcbb86,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6AYFRVMWQ,2021-01-03T20:22:57Z,health.amazonaws.com,DescribeEventAggregates,us-east-1,179.6.208.191,console.amazonaws.com,AccessDenied,[],18632319-a9dc-4577-9d64-873abe2de25b,0bc41c6c-0539-4800-9e96-078d3a743d02,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6N4DBZ2UG,2021-01-03T20:22:57Z,s3.amazonaws.com,GetBucketVersioning,us-east-1,179.6.208.191,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],1E8D1E18CDFE008F,1584d03b-24d4-49ab-8b0d-a287987b489a,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:50Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,179.6.208.191,console.amazonaws.com,,[],161a0934-0d04-40ef-af30-49027d6185f6,2cfdca03-b57b-4167-9f05-ccc8e2f77d9b,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:50Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,179.6.208.191,console.amazonaws.com,,[],f1125a94-d332-4161-b1b0-11d97fb0e75b,a915e2a8-a5b1-48ba-8279-329f2189ad95,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,s3.amazonaws.com,CreateBucket,us-east-1,179.6.208.191,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-952007629372-c8f52cbf""}]",ECB0D1AC59ADFC23,14a2dad5-065f-45bd-b9a0-895441f5f725,false,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,179.6.208.191,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:952007629372:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-952007629372-c8f52cbf""}]",740fd6b8-71c0-4056-98ba-ba38329d0a58,2d3ed360-e41b-4997-a2db-e06d2b7a302a,false,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,s3.amazonaws.com,GetBucketLocation,us-east-1,179.6.208.191,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],A82FE192E24EB9C8,3b6b42dd-7437-4608-bed4-fac3d65d36ef,true,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,179.6.208.191,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-952007629372-c8f52cbf""}]",FE7FE8CD712679B3,43940ad0-7027-42a8-b49d-f2b74b82a9f9,false,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,179.6.208.191,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",8abd98ea-224c-4fd4-90ce-1d635010a270,65d62896-c546-4009-9976-e9026f1390e9,false,AwsApiCall,952007629372,Management
CloudTrail,ASIA53KATTI6GC3P73MH,2021-01-03T20:22:49Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,179.6.208.191,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:952007629372:trail/Udacity_Trail""}]",06bf58b4-465c-4257-a7d3-a5b38bc4ead8,a0cc5044-fd02-4667-b157-415dca85e65a,false,AwsApiCall,952007629372,Management
